Class,Accuracy,Precision,Recall,F1 Score,Epoch
9,0.9984,0.9950149551345963,0.9890981169474727,0.9920477137176938,9
0,0.9993,0.9959225280326198,0.996938775510204,0.9964303926568078,10
1,0.9989,0.9947183098591549,0.9955947136563876,0.9951563188022897,10
2,0.9989,0.997078870496592,0.9922480620155039,0.9946576007770762,10
3,0.9985,0.996011964107677,0.9891089108910891,0.992548435171386,10
4,0.9985,0.9888776541961577,0.9959266802443992,0.9923896499238964,10
5,0.9984,0.987750556792873,0.9943946188340808,0.9910614525139665,10
6,0.9988,0.9968487394957983,0.9906054279749478,0.993717277486911,10
7,0.9973,0.9789473684210527,0.995136186770428,0.986975397973951,10
8,0.999,0.9948665297741273,0.9948665297741273,0.9948665297741273,10
9,0.9978,0.9959798994974874,0.9821605550049554,0.9890219560878244,10
0,0.9991,0.9959141981613892,0.9948979591836735,0.9954058192955589,11
1,0.9991,0.9947275922671354,0.9973568281938326,0.9960404751429829,11
2,0.9987,0.991321118611379,0.9961240310077519,0.9937167713871435,11
3,0.9988,0.9960238568588469,0.9920792079207921,0.994047619047619,11
4,0.9986,0.9938775510204082,0.9918533604887984,0.9928644240570846,11
5,0.9987,0.9899665551839465,0.9955156950672646,0.9927333705980995,11
6,0.9988,0.9937369519832986,0.9937369519832986,0.9937369519832986,11
7,0.998,0.9893203883495145,0.9912451361867705,0.9902818270165209,11
8,0.9987,0.9928205128205129,0.9938398357289527,0.9933299127757824,11
9,0.9983,0.996,0.9871159563924677,0.9915380786460926,11
0,0.9992,0.994908350305499,0.996938775510204,0.9959225280326197,12
1,0.999,0.9938542581211589,0.9973568281938326,0.9956024626209323,12
2,0.9986,0.9941747572815534,0.9922480620155039,0.9932104752667313,12
3,0.998,0.9881656804733728,0.9920792079207921,0.9901185770750989,12
4,0.9984,0.9898580121703854,0.9938900203665988,0.9918699186991871,12
5,0.9973,0.9757975797579758,0.9943946188340808,0.9850083287062743,12
6,0.9986,0.9978902953586498,0.9874739039665971,0.9926547743966422,12
7,0.9974,0.980806142034549,0.9941634241245136,0.9874396135265701,12
8,0.9985,0.9948400412796697,0.9897330595482546,0.9922799794132784,12
9,0.9962,0.9949031600407747,0.9672943508424182,0.9809045226130654,12
0,0.9988,0.9969199178644764,0.9908163265306122,0.9938587512794269,13
1,0.9992,0.9947322212467077,0.9982378854625551,0.9964819700967459,13
2,0.9987,0.9941804073714839,0.9932170542635659,0.9936984973339795,13
3,0.9984,0.9950199203187251,0.9891089108910891,0.9920556107249255,13
4,0.9984,0.9948770491803278,0.9887983706720977,0.9918283963227783,13
5,0.9982,0.9855555555555555,0.9943946188340808,0.9899553571428572,13
6,0.9984,0.9916492693110647,0.9916492693110647,0.9916492693110647,13
7,0.9981,0.9883833494675702,0.9931906614785992,0.9907811741872878,13
8,0.9989,0.995880535530381,0.9928131416837782,0.994344473007712,13
9,0.9981,0.9881656804733728,0.9930624380574826,0.9906080079090459,13
0,0.999,0.9928861788617886,0.996938775510204,0.994908350305499,14
1,0.9988,0.9903930131004367,0.9991189427312775,0.9947368421052631,14
2,0.9981,0.9846889952153111,0.997093023255814,0.9908521906596052,14
3,0.9984,0.991106719367589,0.9930693069306931,0.9920870425321465,14
4,0.9988,0.9938900203665988,0.9938900203665988,0.9938900203665988,14
5,0.9987,0.9932659932659933,0.992152466367713,0.9927089175546832,14
6,0.9988,0.9968487394957983,0.9906054279749478,0.993717277486911,14
7,0.997,0.9960238568588469,0.9747081712062257,0.985250737463127,14
8,0.9981,0.983789260385005,0.9969199178644764,0.9903110657827638,14
9,0.9975,0.9939759036144579,0.981169474727453,0.9875311720698254,14
0,0.999,0.9959100204498977,0.9938775510204082,0.9948927477017365,15
1,0.9993,0.9947368421052631,0.9991189427312775,0.996923076923077,15
2,0.9989,0.9951503394762367,0.9941860465116279,0.9946679592825981,15
3,0.9989,0.9960278053624627,0.9930693069306931,0.9945463559742191,15
4,0.998,0.9908163265306122,0.9887983706720977,0.9898063200815495,15
5,0.9983,0.9866518353726362,0.9943946188340808,0.9905080960357342,15
6,0.9987,0.9937304075235109,0.9926931106471816,0.9932114882506528,15
7,0.9981,0.9883833494675702,0.9931906614785992,0.9907811741872878,15
8,0.9987,0.9968976215098242,0.9897330595482546,0.9933024214322514,15
9,0.9979,0.9900793650793651,0.9890981169474727,0.9895884977689637,15
0,0.9991,0.9959141981613892,0.9948979591836735,0.9954058192955589,16
